//campaign:Xonotic 0.8.2 Campaign by Mirio
//"game","mapname","bots","skill","fraglimit","timelimit","mutator-sets","description","long description"
"dm","boil","5","2","10",,,"Deathmatch: Boil","Welcome to Xonotic!\nWe'll start off easy with Deathmatch against 5 'Botlike' bots on Boil.\nXonotic is mainly a multiplayer game, but before jumping into online games it might be a good idea to practice a bit versus bots."
"tdm","stormkeep","5","2",,"5",,"Team Deathmatch: Stormkeep","Next we'll try some 3v3 Team Deathmatch on Stormkeep.\nYou'll have to do your best for five minutes, because the team with the highest score is going to be the winning team!"
"ctf","dance","9","3","3",,,"Capture the Flag: Dance","In CTF you have to take the other teams flag and bring it to your base. Also your own flag has to be in your base for a successful capture!\n3 captures to win. "
"dm","finalrage","6","3","15",,,"Deathmatch: Final Rage","Again a DM match, but the bots are slightly better now."
"dom","atelier","11","4","50",,,"Domination: Atelier","Defend the control points and kill intruders to win."
"kh","runningmanctf","5","5","500",,,"Key Hunt: Running Man","Every team holds a key. You have to collect them (kill their carriers and pick them up) and meet with the other key carriers in your team."
"ctf","geoplanetary","13","5","5",,,"Capture the Flag: Geoplanetary","Another crowded CTF experience before you jump into the Multiplayer."
"dm","erbium","6","5","15",,"g_instagib 1","[Special] Deathmatch: Erbium","InstaGib! Everyone has got one weapon - the Vaporizer.\nYour opponent will be dead if you hit him with it (unless he picked up a powerup like 'Extra Life')."
"ka","runningman","6","5","15",,,"Keepaway: Running Man","Pick up the ball and frag everything that moves!\nHint: You can shoot through warpzones!"
"ctf","vorix","11","6","5",,"g_grappling_hook 1","[Special] Capture the Flag: Vorix","Grappling Hook: Press 'e' (default key) or Mouse5 to use it. Shoot it at walls and it will pull you quickly."
//"rc","leave_em_behind","0","0","2400",,,"Race: Leave'em behind","It's a race, so run as fast as you can! You can try to boost yourself with the Blaster (weapon 1) if you shoot at the wall or under your feet. Also hold your Jump key to gain speed ('Bunnyhopping').\nTo proceed you need to get a time under 24 seconds."
"dm","solarium","8","6","15",,"g_nix 1","[Special] Deathmatch: Solarium","NIX: In this mutator everyone will spawn with the same weapon, but the weapon will change randomly after some time."
"ft","warfare","5","6","5",,,"Freeze Tag: Warfare","If you get fragged you will be frozen. You revive teammates by standing close to them for a few seconds. A round is over if an entire team is frozen."
"lms","drain","6","6","5",,,"Last Man Standing: Drain","You will have 5 lives in this gamemode and the goal is not to run out of lives before the others do!\n= The last man standing"
"tdm","afterslime","5","7","20",,"sv_gravity 200"," [Special] Team Deathmatch: Afterslime","Another TDM match.\nThough, we lowered the gravity a little bit."
"nexball","nexballarena","5","7","5",,,"Nexball: Nexball Arena","This is similar to football now. You move the ball if you hit it, so try to push it into the enemies goal. First team who can score 5 goals wins!"
"kh","silentsiege","8","8","600",,,"Key Hunt: Silent Siege","Key Hunt one more time! Get 600 points to win."
"ctf","implosion","7","7","5",,"g_jetpack 1","[Special] Capture the Flag: Implosion","Jetpack: Press Jump (default key 'space') while already in the air to use the Jetpack and enjoy flying around!"
//"as","techassault","7","8","30",,"g_campaign_forceteam 1","Assault: Techassault","You are in the attacking team and you have to destroy all objects. There will be new rooms/ways if you destroy an object."
"dm","oilrig","6","8","15",,,"Deathmatch: Oilrig","In this DM game you are going to face 8 'Assassin' bots!"
//"cts","courtfun","0","0","6000",,,"Race CTS: Courtfun","Race CTS (Complete The Stage) is similar to the Race mode, just that you only need to reach the finish in CTS. You have to beat it within 1 minute though."
"dm","xoylent","4","6","10",,"g_weaponarena blaster","[Special] Deathmatch: Xoylent","Blaster only: This time you get only the Blaster, so try to push the enemies off the map! But don't let them push you, because you need only 10 frags to win.\nWatch your step!"
"ctf","catharsis","9","9","5",,,"Capture the Flag: Catharsis","CTF versus a team of 'Unhuman' bots! 5 captures to win."
"dm","darkzone","5","9","15",,"g_new_toys 1; g_cloaked 1","[Special] Deathmatch: Darkzone","New Toys: In this mutator some fancy weapons like the Mine Layer, the Heavy Laser Assault Cannon (HLAC) or the T.A.G. Seeker will spawn.\nAlso you're experiencing another mutator: almost invisible players."
"ctf","space-elevator","7","10","3",,"g_instagib 1; g_grappling_hook 1","[Special] Capture the Flag: Space-Elevator","InstaGib in CTF this time. Also you will experience here how to play with the off-hand Grappling Hook (Press 'e' or Mouse5 to use it)!"
"dm","fuse","1","10","10",,,"[Special] Duel: Fuse","This time you will face only 1 bot - a so-called 'Duel'. Duel is very popular in Multiplayer."
"dm","glowplant","5","11","20",,,"[FINAL] Deathmatch: Glow Plant","In this final match you have to beat 5 'Godlike' bots and you need to get 20 frags to win and complete the campaign! After this you should be ready for fights versus real people."
"dm","stormkeep","9","11",15",,"g_weaponarena devastator","[Bonus] Deathmatch: Stormkeep","SURPRISE!\nWelcome to the ROCKET HELL!\nOnly the Devastator will be available here - don't blow up yourself! Have fun!"
